ship_type,engine_power_kw,sfoc,cargo_load_pct,avg_speed_knots,distance_nm,wave_height_m,wind_speed_mps,current_speed_mps,monsoon_season,fuel_consumption_tons
Container,15325.68986,182.5233627,71.08288088,15.77184006,2899.783601,4.114494765,8.704528251,1.241437732,0,838.0606041
Tanker,17758.35874,208.4706306,66.77799774,14.45677232,5946.844789,4.700527287,3.993473004,1.486271909,1,2266.086261
Container,14217.19038,172.1727737,69.59086549,15.73443879,1004.900874,1.165825566,2.657342733,-0.748089886,1,221.1702508
Bulk Carrier,16795.26657,160.0,80.70427708,16.92798212,3348.966349,1.8175989,4.804312807,0.407200534,1,895.4128053
Bulk Carrier,16637.91754,160.0,95.72671648,17.4121589,1952.986578,4.743580726,17.23368859,1.460474124,0,594.2678993
Bulk Carrier,10920.50105,178.5878259,94.92234693,16.17127857,5308.636724,0.887897991,10.16181378,-1.917414298,0,1241.004566
Container,19492.6004,190.6732161,69.04373655,12.18032294,1480.306629,3.000297626,10.19535068,-1.661046272,1,918.3990151
Tanker,12760.96096,220.0,56.19794002,13.87769427,675.5904887,3.104669672,3.089722954,1.969515442,0,182.5796866
Bulk Carrier,13129.29587,160.0,40.80669727,16.33639644,5359.214083,4.493257621,3.793496311,1.510599703,0,987.6448386
Container,15099.06896,188.9484002,47.29550736,10.93910684,4377.146126,5.95002619,9.38274107,1.016908484,1,2233.550054
Container,13449.1624,162.2242192,87.25577951,13.3200815,2073.215989,3.034463426,6.426487957,-0.114788758,0,547.9594455
Container,16792.14478,160.0,77.47210521,17.31626031,4935.45885,4.512058942,12.63018856,1.645831276,0,1535.858628
Container,18989.06381,211.7551076,62.29999279,14.54142838,1120.726179,0.752189587,7.879118801,1.879213847,0,414.911925
Bulk Carrier,11883.34568,168.182744,60.88123045,12.94253427,1337.084284,4.434492425,6.625940378,0.177801488,0,328.3007765
Tanker,22741.72113,160.0,43.28188011,8.0,5461.71484,3.583695971,11.3531246,-0.540301852,0,4446.602653
Bulk Carrier,15101.37079,176.8799123,57.58813621,18.39145865,3013.739636,5.624730501,13.63940126,1.832883097,0,776.5424009
